codigo_postal,precio_m2,precio_medio,superficie_media,total_informados,total,es_estimado
46269,568.443051,108800.0,191.4,10.0,10.0,0
46291,543.730509,89021.808965,163.7241,29.0,30.0,0
46292,475.57591,72483.363823,152.4117,34.0,38.0,0
46293,548.701506,100183.75,182.5833,36.0,37.0,0
46294,461.291788,73026.038461,158.3076,26.0,30.0,0
46295,451.240538,71362.855555,158.1481,27.0,29.0,0
46320,652.594547,67454.545454,103.3636,11.0,13.0,0
46330,854.251012,74470.588235,87.1764,17.0,19.0,0
46340,801.090437,95381.57388,119.0646,201.0,235.0,0
46352,383.777239,63400.0,165.2,10.0,24.0,0
46353,,,,,,0
46354,360.611038,49895.454545,138.3636,11.0,11.0,0
46355,459.715624,58199.998,126.6,5.0,7.0,0
46356,,,,,3.0,0
46357,1312.202852,127384.615384,97.0769,13.0,16.0,0
46367,621.404483,66405.542727,106.8636,44.0,47.0,0
46368,489.883967,80659.964883,164.6511,43.0,45.0,0
46369,917.985767,114891.65625,125.1562,32.0,33.0,0
46390,467.773536,55707.575757,119.0909,33.0,43.0,0
46391,815.881796,86279.5,105.75,4.0,5.0,0
46392,902.993901,95179.857142,105.4047,42.0,45.0,0
46393,1352.562837,187803.35,138.85,20.0,21.0,0
46417,1013.938753,106688.888888,105.2222,18.0,22.0,0
46418,789.069171,115500.0,146.375,8.0,8.0,0
46430,835.480454,109591.164714,131.1714,70.0,71.0,0
46439,,,,,4.0,0
46469,908.142727,130851.521739,144.0869,23.0,27.0,0
46501,1095.168507,135443.774782,123.6739,46.0,48.0,0
46510,1003.157397,132974.086111,132.5555,18.0,20.0,0
46511,982.54916,116316.48147,118.3823,34.0,35.0,0
46515,822.15882,115266.666666,140.2,15.0,15.0,0
46590,697.247706,118222.222222,169.5555,18.0,21.0,0
46591,1032.802756,165628.947368,160.3684,38.0,43.0,0
46613,707.523769,87245.0,123.3103,29.0,30.0,0
46625,393.078785,55817.1875,142.0,12.0,16.0,0
46630,411.760211,50043.571428,121.5357,28.0,34.0,0
46660,612.00882,83443.031142,136.3428,35.0,45.0,0
46666,522.427652,99515.004571,190.4857,35.0,41.0,0
46667,444.647606,89166.666666,200.5333,15.0,24.0,0
46668,436.418309,82986.62,190.1538,13.0,15.0,0
46669,614.96502,81944.088928,133.25,28.0,31.0,0
46688,683.249466,94832.237142,138.7959,49.0,50.0,0
46689,721.815932,97252.666666,134.7333,15.0,17.0,0
46692,461.736409,80688.4375,174.75,16.0,21.0,0
46703,1173.438534,180496.181818,153.8181,11.0,11.0,0
46714,899.885057,123615.789473,137.3684,19.0,21.0,0
46715,611.363152,95678.333333,156.5,30.0,33.0,0
46716,604.200064,104694.444444,173.2777,18.0,20.0,0
46721,769.830188,97145.238095,126.1904,21.0,27.0,0
46722,920.515517,150417.211351,163.4054,37.0,56.0,0
46723,812.530906,103036.65738,126.8095,42.0,48.0,0
46724,870.370033,117412.9175,134.9,40.0,47.0,0
46725,863.38439,101460.0,117.5142,35.0,42.0,0
46726,692.962962,116937.5,168.75,16.0,18.0,0
46729,931.483382,142067.275862,152.5172,29.0,32.0,0
46758,855.500581,276059.34375,322.6875,32.0,36.0,0
46790,1169.30848,135591.0625,115.9583,48.0,51.0,0
46791,392.340425,59930.0,152.75,16.0,16.0,0
46810,482.92188,68943.237288,142.7627,59.0,73.0,0
46811,,,,,1.0,0
46816,368.060824,50362.989444,136.8333,18.0,25.0,0
46820,467.216522,60944.04,130.4406,59.0,61.0,0
46821,444.318007,78091.891891,175.7567,37.0,47.0,0
46822,411.689291,64223.529411,156.0,17.0,17.0,0
46837,466.971333,80285.714285,171.9285,14.0,18.0,0
46840,516.371818,85201.35,165.0,14.0,17.0,0
46841,401.034775,50300.0,125.4255,47.0,49.0,0
46842,500.403287,77003.235294,153.8823,17.0,20.0,0
46869,511.010446,80131.304761,156.8095,21.0,22.0,0
46890,625.011934,92429.649615,147.8846,26.0,31.0,0
46892,336.614274,81650.0,242.5625,16.0,20.0,0
46893,399.443207,44837.5,112.25,8.0,8.0,0
46141,198.535262,43916.0,221.2,5.0,8.0,0
46143,,,,,2.0,0
46145,,,,,2.0,0
46146,,,,,9.0,0
46147,,,,,5.0,0
46162,598.364937,117023.085714,195.5714,7.0,10.0,0
46165,532.373199,77290.90909,145.1818,11.0,11.0,0
46166,496.456876,70993.333333,143.0,15.0,21.0,0
46167,772.132006,98266.666666,127.2666,15.0,16.0,0
46168,605.35117,51714.285714,85.4285,7.0,8.0,0
46172,513.977142,76108.153846,148.0769,13.0,15.0,0
46173,492.058516,58862.5,119.625,8.0,11.0,0
46174,1203.703703,181071.428571,150.4285,7.0,9.0,0
46175,596.013855,73379.823529,123.1176,17.0,18.0,0
46176,442.179828,50388.401363,113.9545,44.0,53.0,0
46179,,,,,4.0,0
46198,586.158815,62216.571428,106.1428,7.0,9.0,0
46199,410.565723,54833.333333,133.5555,9.0,15.0,0
46267,754.132539,101280.0,134.3,10.0,11.0,0
46310,434.790109,44476.470588,102.2941,17.0,26.0,0
46311,,,,,6.0,0
46314,459.033614,97039.706,211.4,10.0,14.0,0
46315,671.646341,73433.333333,109.3333,12.0,15.0,0
46317,449.97363,63382.0,140.8571,7.0,11.0,0
46350,498.547918,51500.0,103.3,10.0,15.0,0
46514,1049.035874,124765.333333,118.9333,15.0,15.0,0
46592,391.203703,63375.0,162.0,4.0,4.0,0
46593,689.859693,196672.727272,285.0909,11.0,11.0,0
46594,604.784366,128214.285714,212.0,7.0,7.0,0
46595,1084.083601,168575.0,155.5,20.0,20.0,0
46611,775.69185,93138.428571,120.0714,14.0,14.0,0
46621,,,,,4.0,0
46622,359.666666,67437.5,187.5,8.0,15.0,0
46623,237.808549,39500.0,166.1,10.0,18.0,0
46624,359.054607,61884.117647,172.3529,17.0,21.0,0
46635,450.079803,70501.786428,156.6428,14.0,15.0,0
46813,550.58651,93875.0,170.5,8.0,9.0,0
46814,480.423341,95784.40375,199.375,24.0,26.0,0
46817,,,,,1.0,0
46818,,,,,4.0,0
46819,565.547981,89875.0,158.9166,12.0,12.0,0
46824,249.848812,57840.0,231.5,10.0,13.0,0
46825,,,,,4.0,0
46839,392.345476,73730.76923,187.923,13.0,16.0,0
46843,435.403283,87142.857142,200.1428,7.0,8.0,0
46844,469.15274,119399.3725,254.5,4.0,5.0,0
46868,387.804878,58300.0,150.3333,9.0,10.0,0
46891,362.642712,34088.415,94.0,54.0,57.0,0
03001,2768.647219,283770.053823,102.4941,170.0,179.0,0
03002,2716.035865,247881.007552,91.2657,143.0,156.0,0
03003,2594.818443,305833.333333,117.863,168.0,183.0,0
03004,2077.669678,216695.796198,104.2975,242.0,255.0,0
03005,2130.336752,213522.684386,100.2295,440.0,458.0,0
03006,1529.56685,131448.490084,85.9383,357.0,377.0,0
03007,1766.736621,168335.527103,95.2804,328.0,358.0,0
03008,2482.257095,254596.257447,102.5664,286.0,302.0,0
03009,1488.657919,134609.224948,90.4232,293.0,311.0,0
03010,1475.330618,136218.870945,92.331,296.0,320.0,0
03011,909.807598,76573.719913,84.1647,346.0,385.0,0
03012,1373.675838,121012.402389,88.0938,586.0,608.0,0
03013,1630.121136,136592.477723,83.7928,391.0,412.0,0
03014,877.669777,64567.140102,73.5665,293.0,321.0,0
03015,1551.288688,160843.480972,103.6837,370.0,406.0,0
03016,2757.725747,278818.421144,101.1044,201.0,212.0,0
03110,1756.703524,234146.575995,133.2874,487.0,510.0,0
03112,1233.969753,143978.372098,116.679,81.0,89.0,0
03113,1410.99526,212657.142857,150.7142,21.0,24.0,0
03114,1753.420217,241752.8125,137.875,16.0,17.0,0
03130,2430.946952,197444.664021,81.2212,1681.0,1767.0,0
03138,2692.307692,161000.0,59.8,5.0,5.0,0
03140,2245.145808,176988.29813,78.8315,1300.0,1397.0,0
03158,1015.715651,149863.635641,147.5448,156.0,174.0,0
03170,2334.826147,249003.716306,106.6476,999.0,1027.0,0
03177,1888.248771,166556.564059,88.2068,638.0,655.0,0
03179,1217.549308,97832.341666,80.3518,162.0,199.0,0
03181,1680.537475,121065.9197,72.04,900.0,1050.0,0
03182,1813.050692,118774.527453,65.5108,1288.0,1447.0,0
03183,2497.246089,162719.847899,65.1597,1271.0,1325.0,0
03184,2016.137219,138371.808074,68.6321,753.0,781.0,0
03185,2711.238022,189634.17352,69.9437,889.0,921.0,0
03186,2370.373483,210765.708947,88.9166,228.0,234.0,0
03188,2448.336909,148520.4375,60.6617,476.0,498.0,0
03190,2128.101906,202243.773636,95.0348,517.0,542.0,0
03194,1930.678045,160246.277777,83.0,54.0,60.0,0
03195,2335.668226,194896.71,83.4436,284.0,306.0,0
03201,1236.836488,122903.145181,99.3689,496.0,540.0,0
03202,1569.381636,165643.327421,105.5468,256.0,301.0,0
03203,1552.926648,157511.816203,101.429,324.0,379.0,0
03204,1241.4375,128194.567803,103.263,346.0,366.0,0
03205,1135.731986,112928.333898,99.4322,236.0,258.0,0
03206,909.110434,80248.391487,88.2713,457.0,489.0,0
03207,1260.91037,268700.0,213.1,10.0,16.0,0
03208,1953.886073,217083.480344,111.1034,29.0,52.0,0
03290,1519.003378,513857.142857,338.2857,7.0,9.0,0
03291,1587.935761,405400.0,255.3,10.0,10.0,0
03292,1351.878172,153646.153846,113.6538,26.0,27.0,0
03293,1927.264287,203452.073478,105.5652,23.0,28.0,0
03294,1802.606305,187271.618468,103.8893,235.0,276.0,0
03295,1417.214532,218440.0,154.1333,15.0,22.0,0
03296,917.473663,236891.7,258.2,20.0,25.0,0
03317,,,,,3.0,0
03320,1198.668572,123758.425068,103.2465,73.0,79.0,0
03340,786.06868,100330.243842,127.6354,203.0,240.0,0
03409,568.378913,99521.314193,175.0967,31.0,35.0,0
03440,888.62891,94933.692558,106.8316,297.0,329.0,0
03501,2233.11394,172677.962732,77.326,322.0,345.0,0
03502,3476.620899,280667.790119,80.73,752.0,827.0,0
03503,2845.297066,201936.452328,70.972,786.0,842.0,0
03530,1875.446708,245756.969765,131.0391,383.0,412.0,0
03540,3429.993258,380534.305821,110.9431,651.0,725.0,0
