codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo,fuente_precio,tiene_supermercado,tiene_colegio,tiene_instituto,tiene_universidad,tiene_centro_salud,tiene_todos_servicios,tiene_mercadona
43202,Tarragona,Reus,15943.0,15166.857142857143,5.12,False,True,1494.228897,11.88,-17.69,False,True,notariado,False,False,False,False,True,False,True
43203,Tarragona,Reus,15943.0,15166.857142857143,5.12,False,True,1327.504982,11.88,-17.69,False,True,notariado,False,True,False,False,True,False,True
30890,Murcia,"Lorca, Puerto Lumbreras",15188.5625,13859.6875,9.59,False,True,743.424826,16.36,-19.25,False,True,notariado,False,False,False,False,True,False,True
12580,Castellón/Castelló,Benicarló,15148.0,13681.5,10.72,False,True,1177.463356,-2.34,-2.34,False,False,notariado,True,True,True,False,True,False,True
46230,Valencia/València,Alginet,14844.0,13827.0,7.36,False,True,788.803545,,,False,False,notariado,False,True,True,False,True,False,True
03317,Alicante/Alacant,"Callosa de Segura, Orihuela",14691.777777777777,13924.888888888889,5.51,False,True,2166.2,28.59,0.0,True,True,mivau,False,False,False,False,True,False,True
30858,Murcia,"Mazarrón, Totana",14664.233333333334,14126.9,3.8,False,True,539.048614,10.274999999999999,-28.009999999999998,False,True,notariado,False,False,False,False,True,False,False
03185,Alicante/Alacant,"Penàguila, Torrevieja",14228.642857142857,12229.785714285714,16.34,False,True,2711.238022,15.71,0.0,True,True,notariado,False,True,False,False,True,False,True
03184,Alicante/Alacant,Torrevieja,14076.142857142857,12095.285714285714,16.38,False,True,2016.137219,15.71,0.0,True,True,notariado,True,True,True,False,True,False,True
03188,Alicante/Alacant,Torrevieja,14076.142857142857,12095.285714285714,16.38,False,True,2448.336909,15.71,0.0,True,True,notariado,False,False,False,False,True,False,True
03182,Alicante/Alacant,Torrevieja,14076.142857142857,12095.285714285714,16.38,False,True,1813.050692,15.71,0.0,True,True,notariado,True,True,False,False,False,False,True
